,num_nodes,edge_prob,number_train_samples_per_dataset,root_std,non_root_std,baseline_binary,attention_binary,baseline_beta,attention_beta,baseline_uncertain,attention_uncertain
2761,8,0.276728093624115,112,0.6369639138380686,0.5403006076812744,0.7888120412826538,0.7314301133155823,0.7870832681655884,0.7811184525489807,0.7911620140075684,0.7790502905845642
2762,6,0.3118763566017151,108,1.0399574041366577,0.5754604339599609,0.4631061553955078,0.01770681142807007,0.4685683846473694,0.45655912160873413,0.4593580365180969,0.46249842643737793
2763,11,0.11322836577892303,59,0.9577856719493866,0.9132698575655619,0.2962343692779541,-0.015055537223815918,0.13471686840057373,0.23887473344802856,0.008892655372619629,0.18328732252120972
2764,22,0.1596692055463791,114,0.9974105000495911,0.5560715461478514,0.83305424451828,0.09501457214355469,0.8330965042114258,0.8331902027130127,0.8355405330657959,0.8325852155685425
2765,3,0.11874429881572723,28,2.225482225418091,0.4956558048725128,0.5179486870765686,0.46766066551208496,0.5194740295410156,0.5136309862136841,0.5104459524154663,0.514896035194397
2766,10,0.226971834897995,31,1.4589291214942932,1.0735228317124503,0.5513828992843628,0.5328295230865479,0.5502736568450928,0.5805804133415222,0.5494391322135925,0.587859570980072
2767,4,0.1298665553331375,180,0.8651423652966818,0.5617759823799133,0.007589578628540039,-0.013173699378967285,0.005062460899353027,0.006361067295074463,0.006709933280944824,0.003623783588409424
2768,4,0.3199741244316101,14,1.0747075378894806,0.2305988147854805,0.009622573852539062,0.015102565288543701,0.015299618244171143,0.017469465732574463,0.006926596164703369,0.02624589204788208
2769,11,0.22680293023586273,163,0.4619027376174927,0.7876442819833755,0.04540228843688965,0.04141348600387573,0.043726563453674316,0.046693384647369385,0.04585999250411987,0.04326063394546509
2770,11,0.3598323166370392,200,0.705181896686554,0.5482164886262682,0.4291706681251526,0.42406517267227173,0.4453832507133484,0.43569570779800415,0.4374457001686096,0.43485087156295776
2771,8,0.10796526819467545,5,0.9429449364542961,0.6093670427799225,0.30967748165130615,0.4836292266845703,0.2941201329231262,0.5665381550788879,0.35118424892425537,0.5693267583847046
2772,17,0.11912024021148682,170,1.0176005181339052,0.5936532896012068,0.7530829906463623,0.393158495426178,0.7539730668067932,0.7414705753326416,0.7515188455581665,0.746772289276123
2773,7,0.11822257936000824,90,1.0902461806933086,1.794734001159668,-0.01177513599395752,0.006818056106567383,-0.01866602897644043,5.054473876953125e-05,-0.021221518516540527,-0.001954793930053711
2774,23,0.1028624102473259,66,1.1152571539084117,0.9064387959592483,0.40791815519332886,0.3897324204444885,0.40775513648986816,0.40812021493911743,0.4047973155975342,0.4119471311569214
2775,3,0.15041734278202057,144,1.7588344812393188,0.5549269318580627,0.11208629608154297,0.010837852954864502,0.11270374059677124,0.1146363615989685,0.11333560943603516,0.1124565601348877
2776,21,0.10339480638504028,118,0.7303464710712433,0.667998081445694,0.05127835273742676,0.014570236206054688,0.043945908546447754,0.0383114218711853,0.0394519567489624,0.042814552783966064
2777,3,0.1656004637479782,122,0.5872688293457031,0.6276815533638,-0.007181882858276367,-0.0028769969940185547,-0.005852460861206055,-0.007906079292297363,-0.005393266677856445,-0.005091547966003418
2778,4,0.15564902126789093,163,0.8598679304122925,0.7733572125434875,0.2150213122367859,-0.01623213291168213,0.21579360961914062,0.21401602029800415,0.20861691236495972,0.210649311542511
2779,10,0.12940402328968048,92,0.6873785803715388,0.5354620441794395,0.4494009017944336,0.04325228929519653,0.44972074031829834,0.44897526502609253,0.45067018270492554,0.44720542430877686
2780,18,0.14690475165843964,35,0.7004868884881338,0.5499123993019263,0.007147848606109619,0.00038176774978637695,0.0076790452003479,-0.0005029439926147461,0.003679037094116211,0.0021112561225891113
2781,16,0.11144962161779404,95,1.056275036599901,0.6808813831635884,0.6939160227775574,0.6737592816352844,0.6871247291564941,0.6914415955543518,0.6879673004150391,0.6898670196533203
2782,11,0.12169046700000763,29,0.6390936566250665,0.5003235302865505,0.19369393587112427,-0.06345391273498535,0.24565011262893677,0.12850874662399292,0.29926276206970215,0.218619704246521
2783,4,0.2393433153629303,148,0.4529944062232971,0.582864299416542,-0.018038153648376465,-0.05210423469543457,-0.030939340591430664,-0.023709893226623535,-0.029587745666503906,-0.024253487586975098
2784,10,0.18731822073459625,160,0.650102898478508,0.49449261526266736,0.44700801372528076,0.1036374568939209,0.4220731258392334,0.46839141845703125,0.4141544699668884,0.443861186504364
2785,9,0.28667008876800537,44,1.0023000463843346,0.6225149750709533,0.4648645520210266,0.228346049785614,0.4417766332626343,0.43345797061920166,0.4170186519622803,0.4074462652206421
2786,6,0.21218714118003845,19,0.639777476588885,0.4620445966720581,0.04398787021636963,0.0020786523818969727,0.07500219345092773,0.09883791208267212,0.07539856433868408,0.1157107949256897
2787,19,0.10314632207155228,152,1.0799069069325924,0.5877583365548741,0.5670621395111084,-0.007167458534240723,0.5690000057220459,0.5663982629776001,0.5639499425888062,0.572429895401001
2788,3,0.2368011325597763,142,1.024062991142273,0.5368473529815674,0.11361807584762573,-0.01597452163696289,0.12079906463623047,0.11305296421051025,0.11949479579925537,0.11823403835296631
2789,10,0.10728832334280014,13,0.8266702368855476,0.6793126165866852,-0.30423617362976074,-0.41409921646118164,-0.3365236520767212,-0.14747166633605957,-0.2993515729904175,-0.14342308044433594
2790,4,0.19645938277244568,8,1.0832455853621166,0.4727047085762024,-0.10332202911376953,-0.012303590774536133,-0.11154627799987793,-0.09811019897460938,-0.1374291181564331,-0.14341211318969727
2791,11,0.11293584108352661,74,1.0897211730480194,0.6713735818862915,-0.01426708698272705,-0.02612125873565674,-0.02744448184967041,-0.012666702270507812,-0.0257796049118042,-0.016609549522399902
2792,9,0.30325791239738464,136,0.7571671307086945,0.6245266735553742,0.5159144401550293,0.24615412950515747,0.5228610038757324,0.5200130939483643,0.5236828923225403,0.5168846845626831
2793,13,0.15560385584831238,172,1.2244219382603962,0.48535798117518425,0.5338127613067627,0.038390934467315674,0.5348189473152161,0.5398470759391785,0.5327239036560059,0.5371147990226746
2794,7,0.18503832817077637,158,0.8598170503973961,0.44224055608113605,-0.004378080368041992,-0.012103796005249023,-0.0007838010787963867,-0.0004407167434692383,0.0006232857704162598,0.0017334222793579102
