,num_nodes,edge_prob,number_train_samples_per_dataset,root_std,non_root_std,baseline,attention
175,24,0.23157306015491486,191,1.283287227153778,0.6464819366281683,0.5798493027687073,0.5730292797088623
176,18,0.22431381046772003,175,0.7750608871380488,0.6749510144193968,0.2854904532432556,0.39744001626968384
177,17,0.177008256316185,174,0.7387815356254578,0.5988556109368801,0.148800790309906,0.14814209938049316
178,15,0.37397220730781555,176,1.0894733369350433,0.5629472251121814,0.8187333345413208,0.8442080616950989
179,15,0.11697803437709808,153,1.0299290070931117,0.5624329547087351,0.7965236902236938,0.8088626861572266
180,7,0.10298220068216324,85,0.8833192199468612,0.6710261702537537,0.41041117906570435,0.4209025502204895
181,20,0.27437081933021545,74,1.757322371006012,0.6431482815080218,0.08099842071533203,0.28518950939178467
182,6,0.22220121324062347,85,0.7842006087303162,0.39914844185113907,0.11363697052001953,0.12230223417282104
183,20,0.23236678540706635,141,1.4022501508394878,0.6539505325696048,0.6935017108917236,0.735225260257721
184,23,0.18690498173236847,96,0.8527977988123894,0.5226766756352257,0.3267110586166382,0.36497318744659424
185,24,0.1580609232187271,27,0.5811518728733063,0.5797792971134186,0.7991683483123779,0.8460146188735962
186,4,0.15871873497962952,195,1.064280907313029,0.390913188457489,0.504360556602478,0.5047829151153564
187,19,0.10912690311670303,190,0.7478904298373631,0.5075900480151176,0.3827875852584839,0.4155159592628479
188,9,0.23369494080543518,173,0.6822872857252756,0.7340984866023064,0.6300604343414307,0.6335204839706421
189,8,0.17087091505527496,41,2.00070957839489,1.0681918933987617,0.9279913306236267,0.9270368814468384
190,23,0.107495978474617,137,0.6806661444050925,0.7326579857617617,0.8870280981063843,0.8868746161460876
191,23,0.37182357907295227,54,1.3180874288082123,0.8212507625943736,0.6042140126228333,0.6821285486221313
192,25,0.3439279794692993,199,1.7203882187604904,0.5418038043108854,0.7499417066574097,0.8458214402198792
193,17,0.39020636677742004,196,1.055495023727417,0.4383412567632539,0.8138875365257263,0.8111919164657593
194,9,0.12904666364192963,172,1.418820321559906,0.4559847190976143,0.8409121036529541,0.8591750860214233
195,23,0.11466805636882782,88,2.020565092563629,0.5675762085353627,0.8765227198600769,0.87514328956604
196,17,0.13480480015277863,17,1.3665548712015152,0.4240507764948739,-0.04982805252075195,0.04181009531021118
197,10,0.3245401084423065,113,0.6741498708724976,0.5176182919078403,0.5705158710479736,0.5832520723342896
198,18,0.24607153236865997,131,0.8810922279953957,0.4727947839668819,0.8287330865859985,0.8267419338226318
199,3,0.16209673881530762,69,1.3012381196022034,0.3097393810749054,0.6940767765045166,0.6929640769958496
200,18,0.16649799048900604,105,1.0521533012390136,0.621275225510964,0.3686753511428833,0.3741728663444519
201,25,0.11775843799114227,96,1.3111623600125313,0.5028714676698048,0.00608593225479126,0.027700185775756836
202,19,0.1659255176782608,92,1.2729434768358867,0.6484057777203046,0.15688258409500122,0.20548886060714722
203,15,0.15242795646190643,60,1.0087876971811056,0.45827064769608633,0.336884081363678,0.36473697423934937
204,10,0.36960992217063904,38,0.8069078624248505,1.0041875392198563,0.9237469434738159,0.9216843843460083
205,22,0.3812483251094818,18,0.9261782050132752,0.5878218438695458,0.6359193921089172,0.8682926893234253
206,8,0.2545141875743866,120,0.7468946278095245,0.773689237733682,0.8753060102462769,0.86761075258255
207,25,0.20250704884529114,97,0.6620927726229032,0.55030236981417,0.6717202663421631,0.6756712198257446
208,20,0.27056819200515747,31,0.9443199634552002,0.6152313649654388,0.665813684463501,0.6720359921455383
209,23,0.16291894018650055,193,1.3279106865326564,0.4944087293218164,-0.025341153144836426,-0.04630088806152344
210,23,0.16062912344932556,172,0.7696699599424998,0.6573012208237368,0.6258151531219482,0.6397813558578491
211,18,0.10743256658315659,33,0.7443905969460806,0.47173740300867295,-0.024625062942504883,-0.0010412931442260742
212,24,0.2548172175884247,188,0.7251186557114124,0.6002359896898269,0.3802826404571533,0.41318684816360474
213,10,0.31024762988090515,141,0.6552686363458633,0.5099814504384994,0.15904968976974487,0.19792842864990234
214,5,0.21646367013454437,81,0.5238393843173981,0.40613311529159546,0.019554197788238525,-0.02647233009338379
215,18,0.13111770153045654,21,1.1816629809992654,0.7658704099330035,0.05208718776702881,0.09364902973175049
