,num_nodes,edge_prob,number_train_samples_per_dataset,root_std,non_root_std,baseline,nll
8106,14,0.19425790011882782,108,0.7594885468482971,0.5632373657491472,3.721695247804746e-05,3.8756494177505374e-05
8107,7,0.2512184977531433,115,0.6373941004276276,0.3927515099445979,4.0111255657393485e-05,4.125895065953955e-05
8108,13,0.10481981188058853,150,1.0673278212547301,0.6399916782975197,2.7421654635872983e-07,7.610340162500506e-07
8109,20,0.101204052567482,45,1.2807592650254567,0.534481792287393,1.4293715139501728e-05,1.4348495824378915e-05
8110,4,0.18252956867218018,58,1.0920193791389465,0.2389022409915924,8.337989856954664e-05,8.040356624405831e-05
8111,5,0.2284013330936432,178,1.435547113418579,0.7569125890731812,4.1207986214431e-06,4.334344794187928e-06
8112,14,0.27010974287986755,136,0.4948776563008626,0.5148010470650413,2.1679913970729103e-06,1.9256128780398285e-06
8113,14,0.17471562325954437,146,1.4731587916612625,0.6517288655042648,2.3934579076012596e-05,2.3402228180202655e-05
8114,11,0.32857218384742737,66,0.6289962232112885,0.7165171418871198,4.9828129704110324e-05,5.047382728662342e-05
8115,7,0.22008144855499268,27,1.174235537648201,0.29743726054827374,3.566995292203501e-05,3.776420635404065e-05
8116,12,0.2002604752779007,100,0.603836327791214,0.4170322224497795,0.00011540721607161686,0.00011820490180980414
8117,3,0.12350247800350189,184,1.4710872769355774,0.46768808364868164,9.778700587048661e-06,2.536985084589105e-05
8118,7,0.2492263913154602,132,1.8110870520273845,0.4444471150636673,6.398082405212335e-06,7.109106263669673e-06
8119,9,0.11135350167751312,200,1.1686457321047783,0.29944291214148205,2.4121240130625665e-05,3.4876968129538e-05
8120,9,0.1252952665090561,16,1.3016289472579956,0.8057349920272827,8.237874681071844e-06,8.952786629379261e-06
8121,15,0.1284908503293991,152,0.9014788766702017,0.4490632630056805,6.0422633396228775e-05,6.19425845798105e-05
8122,3,0.23022615909576416,126,1.4412628412246704,1.3562099933624268,4.150038819261681e-07,1.0222769333267934e-06
8123,7,0.16227512061595917,140,1.50987908244133,0.421405831972758,1.329559108853573e-05,1.4288339116319548e-05
8124,11,0.1458771526813507,30,1.3208382166922092,0.43850869437058765,0.00010699961421778426,0.00010870636469917372
8125,17,0.12519995868206024,151,0.9829320125281811,0.5073480076260037,2.2433259800891392e-05,2.2266345695243217e-05
8126,4,0.3057958781719208,128,0.7664833466211954,0.6725167036056519,3.2802495297801215e-06,3.45323405781528e-06
8127,7,0.21129588782787323,121,1.5109010577201842,0.3014930263161659,9.417234105058014e-05,0.00010103204112965614
8128,14,0.1340286135673523,110,0.8501202464103699,0.5519036582925103,2.9755447030765936e-06,3.1969434530765284e-06
8129,3,0.213723286986351,38,1.3900920748710632,0.41208577156066895,1.1167690900037996e-05,1.2068969226675108e-05
8130,6,0.25329574942588806,148,0.8892913460731506,1.5707437992095947,6.552234026457882e-07,9.379060657010996e-07
8131,21,0.12139523774385452,57,1.3075050711631775,0.5438350396496909,9.130261787504423e-06,8.80095649335999e-06
8132,6,0.35790523886680603,198,0.6049891511599222,0.7195931772391001,8.136899850796908e-06,8.551229257136583e-06
8133,16,0.18861620128154755,148,1.6923575401306152,0.6508131404717763,1.4987518625275698e-05,1.6154530385392718e-05
8134,8,0.21018052101135254,118,0.6567030847072601,0.316495381295681,2.7575324565987103e-05,2.8652901164605282e-05
8135,9,0.14923901855945587,184,1.0090879946947098,0.37156819105148314,7.014798939053435e-06,7.344327968894504e-06
8136,7,0.3705900013446808,102,0.6999026238918304,0.4950107932090759,8.708739187568426e-06,9.306649189966265e-06
8137,10,0.22817803919315338,68,0.6122615113854408,0.5044814646244049,3.2904466934269294e-05,3.4859662264352664e-05
8138,10,0.11367109417915344,47,1.2231833402599608,0.528936485449473,6.885893526487052e-07,8.661951937938284e-07
8139,9,0.12050430476665497,33,0.7872542909213475,0.7735078632831573,2.2751786673325114e-05,2.436854992993176e-05
8140,9,0.24299021065235138,131,0.9524104793866476,0.42952151348193485,8.892712685337756e-06,1.0224500329059083e-05
8141,10,0.2051386833190918,48,1.6989837527275085,0.6869957566261291,7.651722739865363e-07,1.241540303453803e-06
8142,16,0.17444725334644318,70,0.9191202044486999,0.583734848282554,3.41044578817673e-05,3.843890954158269e-05
8143,11,0.15232239663600922,89,0.518709160387516,0.716934587274279,1.0679611932573607e-06,1.489647956987028e-06
8144,9,0.13593405485153198,89,0.649859344959259,0.3690430447459221,5.301935289026005e-06,6.174383088364266e-06
8145,10,0.3531399071216583,161,1.5595272779464722,0.5992066636681557,7.158876087487442e-06,9.11509596335236e-06
8146,8,0.2169477790594101,181,0.821599942445755,0.4913710504770279,6.954441687412327e-06,7.872325113567058e-06
8147,6,0.24560287594795227,125,0.9414895176887512,0.7580345645546913,1.4531457281918847e-06,1.7412428405805258e-06
8148,14,0.25810715556144714,141,0.8615668614705404,0.5951138924468647,3.5874504646926653e-06,3.8228417906793766e-06
8149,12,0.1864461898803711,75,1.165663441022237,0.5513820548852285,2.4264313651656266e-06,2.965151679745759e-06
