run_id,num_train_samples,y,baseline_beta,baseline_nll_beta
69a18ce4,20,-4.914915,3.1602851e-06,1.0719815e-05
69a18ce4,20,-4.894895,3.0549431e-06,9.948305e-06
69a18ce4,20,-4.874875,3.2781008e-06,1.0540202e-05
69a18ce4,20,-4.854855,3.3875756e-06,9.910088e-06
69a18ce4,20,-4.834835,3.3126705e-06,1.0731006e-05
69a18ce4,20,-4.814815,3.5013275e-06,1.1127046e-05
69a18ce4,20,-4.794795,3.5853093e-06,1.3194152e-05
69a18ce4,20,-4.774775,3.7019638e-06,1.118166e-05
69a18ce4,20,-4.754755,4.0353025e-06,1.275187e-05
69a18ce4,20,-4.734735,3.7724303e-06,1.4305353e-05
69a18ce4,20,-4.714715,3.9961024e-06,1.1687765e-05
69a18ce4,20,-4.694695,4.417321e-06,1.1774986e-05
69a18ce4,20,-4.674675,4.5215234e-06,1.4342646e-05
69a18ce4,20,-4.654655,4.5559086e-06,1.6441856e-05
69a18ce4,20,-4.634635,4.66217e-06,1.3428208e-05
69a18ce4,20,-4.614615,4.973543e-06,1.7214066e-05
69a18ce4,20,-4.594595,5.254712e-06,1.5920408e-05
69a18ce4,20,-4.574575,5.3178087e-06,1.768117e-05
69a18ce4,20,-4.554555,5.483496e-06,1.746988e-05
69a18ce4,20,-4.534535,5.8768096e-06,1.5636708e-05
69a18ce4,20,-4.514515,5.8580194e-06,1.6484593e-05
69a18ce4,20,-4.494495,6.2557356e-06,1.8278375e-05
69a18ce4,20,-4.474475,6.6174384e-06,1.7990293e-05
69a18ce4,20,-4.454455,6.2827958e-06,2.1309304e-05
69a18ce4,20,-4.4344344,6.6968983e-06,1.8794137e-05
69a18ce4,20,-4.4144144,7.5035186e-06,2.2212418e-05
69a18ce4,20,-4.3943944,7.14392e-06,2.0938001e-05
69a18ce4,20,-4.3743744,7.539657e-06,2.2449018e-05
69a18ce4,20,-4.3543544,7.705187e-06,2.2780192e-05
69a18ce4,20,-4.3343344,7.991813e-06,2.3401593e-05
69a18ce4,20,-4.3143144,8.568079e-06,2.3990202e-05
